Rock_Type,Density,Porosity,Vp,E,Poisson_ratio,Water_Absorption,Grain_Size,Weathering_Index,Saturation,Foliation_Angle,Mineral_Hardness,UCS
Granite,2700,1.5,6000,85,0.22,0.3,0.05,0,10,0,6.5,210
Basalt,2800,1.0,6200,90,0.21,0.2,0.03,0,5,0,6.8,240
Limestone,2550,2.2,5200,70,0.25,0.6,0.10,1,20,15,6.0,165
Sandstone,2400,4.5,4800,55,0.27,1.2,0.20,2,35,30,5.0,130
Marble,2500,3.0,5000,65,0.23,0.8,0.15,1,25,20,5.5,150
Shale,2200,8.0,3800,35,0.32,2.5,0.50,3,60,60,4.5,85
Shale,2100,10.0,3500,30,0.33,3.2,0.80,3,65,75,4.2,70
Sandstone,2300,6.0,4500,45,0.30,1.8,0.40,2,45,45,4.8,110
Limestone,2500,5.0,4600,50,0.28,1.5,0.25,2,40,25,5.2,120
Shale,2250,9.5,3300,32,0.34,3.0,0.75,4,70,65,4.4,75
Shale,2150,11.0,3100,28,0.36,3.8,0.90,4,80,80,4.1,60
Sandstone,2450,6.0,4200,42,0.29,1.7,0.30,2,50,40,5.0,105
Granite,2600,2.0,5800,80,0.24,0.5,0.07,1,20,10,6.3,190
Basalt,2750,1.2,6100,88,0.23,0.4,0.06,0,15,5,6.6,205
Marble,2480,3.5,4900,60,0.26,1.0,0.12,1,30,20,5.7,140
Diorite,2650,1.8,5900,82,0.22,0.35,0.05,1,18,8,6.4,200
Gneiss,2550,2.5,5400,75,0.25,0.7,0.10,1,22,12,6.1,175
Schist,2300,7.0,4000,40,0.31,2.0,0.45,3,55,50,4.7,95
Trachyte,2700,1.3,6000,86,0.22,0.3,0.04,0,12,6,6.5,215
Andesite,2650,1.6,5800,83,0.23,0.4,0.05,0,14,7,6.4,195
Rhyolite,2680,1.4,5900,84,0.22,0.35,0.04,0,11,5,6.5,200
Diorite,2620,2.0,5700,78,0.24,0.6,0.08,1,25,15,6.2,180
Pegmatite,2750,1.1,6200,89,0.21,0.2,0.03,0,8,4,6.7,225
Gabbro,2800,1.0,6300,92,0.20,0.15,0.02,0,6,3,6.8,235
Chert,2650,2.5,5500,76,0.25,0.7,0.10,1,28,18,6.1,170
Dolerite,2780,1.2,6150,89,0.21,0.25,0.03,0,9,4,6.7,220
Dacite,2670,1.5,5850,81,0.23,0.4,0.05,0,13,6,6.4,190
Quartzite,2600,2.8,5600,77,0.24,0.65,0.09,1,30,20,6.0,160
Chalk,2000,12.0,3000,25,0.38,4.0,1.00,5,85,90,3.8,50
